기준_년_코드,기준_분기_코드,상권_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,아파트_단지_수,아파트_평균_시가,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,종합병원_수,일반_병원_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,상권_구분_코드_D,상권_구분_코드_R,상권_구분_코드_U,젠트리_여부,예측_clust
2023,1,3120119,399652966,83855410,49761174,41958898,67008506,21026881,10867640,79056446,15007547,4,55,37,104,52,1,230545455,1142347,537667,604680,152268,212304,208091,149350,184272,222776,213770,173817,178499,224010,129475,164010,166872,167928,170394,169300,159202,144640,108,0,1,0,0,0,0,1,1,1,18,1,0,0,0,1
2023,1,3120120,1474096413,362930865,183282220,174480158,253236077,61227638,46407287,209232404,63495322,3,99,52,104,52,49,143923980,1882908,867818,1015090,242274,318082,297016,250442,418091,358768,373373,243908,255991,397039,253827,262242,263954,265138,266855,271036,281348,272338,90,0,1,0,0,0,0,1,0,1,15,1,0,0,0,1
2023,1,3120121,1874997233,408966016,232652401,207789466,336250322,92190231,53558793,306953114,75576103,4,93,49,104,52,65,151400321,2661603,1281493,1380110,405826,409845,466745,360889,513063,549125,521164,352613,372028,519916,346757,373089,377828,380086,379778,384772,386035,380013,42,0,0,0,0,0,0,0,0,1,8,1,0,0,0,1
2023,1,3120123,1750804189,350557451,217955373,180927758,315961263,98876004,46978874,315738053,65966967,2,106,58,104,52,15,139782635,733199,347594,385605,77295,141398,102073,108451,149728,159226,137972,90266,98390,145505,101840,102391,101994,102933,102827,104399,111065,107592,64,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0
2023,1,3120124,1507462278,395603634,179725076,200790774,254060052,52207483,44588931,209615450,63499432,2,130,53,104,52,75,148500582,831388,393455,437934,139375,84332,131982,126443,226811,197973,162683,100347,105802,155488,109097,115788,115321,116825,114887,116376,124588,127602,69,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0
2023,1,3120125,1342257480,305857888,170021321,150811064,233014025,68325298,38694408,210681824,54839365,2,145,65,104,52,4,249302273,673018,346710,326308,75024,94961,130855,109234,128134,107658,147095,108757,111923,130080,67508,97698,98599,99281,100480,101123,90227,85612,72,0,1,1,0,1,8,1,1,1,19,1,0,0,0,1
2023,1,3120126,383709753,104951183,47311199,52944598,65532156,13707422,11753681,41473278,17461617,1,107,48,104,52,11,210960417,191912,110684,81229,4548,31604,37234,41836,37120,39094,38114,26940,28276,36600,22889,27545,27569,27738,27956,27714,25599,27792,11,0,0,0,0,0,0,0,6,0,1,1,0,0,0,3
2023,1,3120128,1316569801,347034861,155736653,172235996,214733680,47127354,39994780,193488120,53918865,4,87,46,104,52,1,968583333,560330,259654,300674,68728,90421,104669,75062,94598,99758,111092,80534,86984,119482,62480,77255,78902,79458,80329,82409,85614,76363,66,0,1,0,0,0,0,2,0,2,14,1,0,0,0,1
2023,1,3120129,1708673745,337922114,217689823,162508047,286467692,92640063,48786687,364197280,68067375,4,89,45,104,52,23,105341886,775040,427031,348009,35381,163381,176731,108128,85021,86551,173518,162415,159316,136460,56782,128928,130594,130157,134987,126931,65334,58108,85,0,0,0,0,0,0,0,0,0,21,1,0,0,0,2
2023,1,3120130,1465625637,343564877,190777178,147364167,242441325,69822776,51419247,219560247,66665288,1,106,50,104,52,7,204523611,1551114,827540,723573,74741,375253,274396,211954,219751,301857,300501,202454,212644,327197,206461,220888,228611,229670,234259,236882,210874,189930,52,0,0,0,0,0,0,0,1,1,13,1,0,0,0,1
